R556371,R869021
R567283,R647608
R869297,R969169
R839624,R107161
R505095,R335172
R131267,R439818
R133998,R598851
R582923,R731600
R665421,R104993
R148704,R755881
R397926,R778555
R803255,R404267
R545914,R516029
R384412,R295402
R437257,R449664
R924991,R815372
R131361,R452620
R128929,R825303
R773520,R833426
R530820,R728579
R463276,R352469
R387266,R531266
R230373,R942203
R760402,R437051
R767486,R286012
R156975,R283185
R842203,R770873
R958547,R691494
R540912,R996602
R270898,R720615
R619149,R398377
R806296,R694795
R225746,R212234
R229583,R256915
R766377,R607441
R716429,R550952
R539065,R927063
R519372,R823377
R702430,R264141
R907983,R340937
R895561,R443799
R636989,R578177
R509079,R670352
R510425,R889473
R628906,R287932
R870397,R539539
R143293,R928684
R129240,R747618
R879955,R790896
R812393,R808117
R925986,R519623
R258081,R750815
R305390,R495572
R684482,R750226
R153887,R402850
R538243,R861636
R382581,R417935
R558853,R452177
R708352,R992551
R270151,R835588
R219808,R873999
R534771,R333943
R428422,R974528
R856877,R804487
R901765,R799057
R650316,R451258
R979581,R402680
R710526,R151303
R947698,R424253
R348849,R694581
R545888,R250737
R183535,R215531
R718709,R657808
R285396,R890011
R279765,R134383
R925046,R993200
R690838,R266459
R949523,R911331
R492114,R257413
R739903,R369391
R603870,R759090
R477874,R431199
R427085,R787191
R483838,R884129
R266157,R294320
R544947,R471960
R950233,R838934
R271214,R111891
R543994,R655836
R205147,R342522
R185567,R813378
R908211,R623894
R487251,R413677
R623198,R867553
R267677,R193887
R509667,R521362
R200099,R375860
R815358,R717818
R788748,R126351
R690894,R658830
R466047,R601073
R451439,R427833
R762428,R614013
R438658,R625572
R707826,R432278
R699931,R671949
R147118,R914659
R959190,R608825
R245504,R675343
R852817,R475614
R634229,R646444
R447927,R454836
R721873,R445092
R271272,R856249
R664655,R195388
R275084,R251484
R247665,R514343
R147768,R795834
R870921,R782793
R195670,R767615
R936571,R384256
R358373,R950607
R203794,R837527
R122891,R736098
R102784,R315903
R266407,R402011
R428727,R916318
R168730,R415390
R908755,R766463
R379991,R328620
R654806,R895705
R243164,R369449
R771136,R645309
R774450,R768728
R297997,R836760
R394914,R713012
R416160,R530545
R647338,R226338
R978542,R361419
R970595,R148349
R992845,R400218
R531190,R171562
R567189,R832463
R829864,R869499
R758376,R985874
R652117,R489666
R440093,R384275
R906711,R149316
R153059,R733157
R266652,R423514
R242821,R601448
R770739,R710073
R336974,R758767
R961563,R615739
R568373,R651509
R400058,R724421
R103617,R439266
R503517,R306901
R871498,R967990
R185562,R207074
R375562,R951070
R324010,R811879
R222884,R721224
R696583,R732549
R114711,R965732
R752028,R274446
R551680,R665263
R528832,R256261
R158145,R575103
R150062,R412224
R260613,R162175
R267264,R452205
R914806,R274842
R361204,R767621
R941844,R977105
R171492,R355875
R642135,R697119
R121707,R741480
R192432,R283685
R624068,R296501
R657712,R252259
R833457,R415330
R654604,R718162
R876227,R257949
R807955,R638455
R503490,R205013
R741257,R633789
R550313,R317872
R926799,R985193
R801787,R585600
R392832,R948406
R770760,R503872
R434763,R732530
R816839,R185910
R402869,R228316
R458851,R573239
R450892,R321930
R756204,R604425
R865083,R901098
R863558,R887019
R206290,R404720
R757177,R683092
R420101,R100096
R882346,R486455
R929769,R420931
R720460,R361791
R514985,R135362
R606859,R433265
R386110,R211868
R125869,R650151
R720327,R520013
R312078,R766684
R407830,R603822
R255920,R705245
R985101,R272816
R476771,R428678
R416355,R609577
R300520,R406875
R721953,R418889
R170261,R443520
R137133,R863951
R233314,R589920
R603921,R143485
R688143,R106878
R770688,R259626
R304002,R850511
R581968,R364851
R534217,R919102
R832098,R417607
R679680,R985988
R799678,R276717
R140287,R837176
R284808,R658647
R513158,R450348
R799249,R407800
R383933,R102369
R119129,R934749
R241398,R512270
R749405,R862347
R459214,R601792
R370490,R803760
R409608,R684429
R336069,R773429
R260782,R642362
R901450,R970700
R240773,R489937
R508768,R324651
R218554,R794770
R637727,R606595
R337894,R559326
R621231,R416596
R805974,R708368
R897886,R175262
R949223,R777560
R926117,R102915
R808737,R476075
R789059,R130410
R326474,R654867
R311643,R336934
R298634,R354344
R405470,R941968
R367149,R412893
R325003,R615547
R691776,R579546
R241177,R691892
R424854,R588091
R586531,R756340
R246650,R686499
R467500,R661584
R110053,R414367
R599546,R340088
R740861,R384331
R618507,R759777
R621022,R242470
R589370,R383092
R740278,R454748
R480594,R140664
R336295,R682736
R863499,R121933
R920326,R562230
R362327,R899695
R880580,R181926
R995100,R601201
R527002,R323078
R840636,R804857
R573052,R567322
R827941,R384625
R591277,R152739
R783044,R386351
R591957,R345178
R368616,R500805
R234787,R519051
R612102,R614383
R619733,R923278
R762244,R635940
R633114,R598203
R650856,R983535
R819977,R708365
R939699,R799192
R150346,R209777
R953968,R126972
R506875,R261133
