r100172, r809687
r100271, r726472
r100296, r112206
r100537, r542264
r100685, r316915
r101062, r210624
r101155, r177281
r101233, r492121
r101236, r811269
r101331, r366819
r101470, r142773
r101529, r134684
r101537, r631436
r101569, r139256
r101592, r354650
r101786, r204642
r101793, r223030
r101830, r154858
r101986, r555119
r102065, r583495
r102099, r430340
r102142, r197221
r102206, r376265
r102593, r800632
r102784, r315903
r102901, r273879
r102905, r109870
r102984, r417466
r103114, r537177
r103183, r117246
r103336, r193542
r103366, r264617
r103400, r513675
r103458, r139410
r103617, r439266
r103659, r758598
r103699, r171541
r103728, r374442
r103874, r717433
r103949, r142105
r103995, r602168
r104103, r233346
r104183, r958663
r104498, r842350
r104733, r867098
r105161, r329148
r105315, r118171
r105362, r196812
r105373, r986064
r105499, r928619
r105603, r747314
r105607, r169047
r105762, r528540
r105798, r609839
r106103, r195712
r106160, r736009
r106184, r990114
r106707, r525436
r106794, r187929
r106943, r649856
r107062, r179505
r107135, r140861
r107196, r695493
r107699, r721677
r107839, r198979
r108186, r622246
r108780, r204719
r109257, r114165
r109437, r351039
r109505, r163081
r109704, r302470
r109786, r751212
r109857, r663618
r109879, r511168
r109928, r729563
r110247, r191837
r110678, r257140
r110689, r648397
r110845, r600939
r110892, r378613
r110985, r128160
r111411, r168737
r111415, r119782
r111483, r361270
r111509, r228349
r111769, r986616
r112156, r493795
r112414, r154363
r112513, r204466
r112592, r152866
r112665, r169146
r112760, r775642
r112780, r901495
r112949, r128192
r112970, r124701
r113081, r804032
r113221, r986125
r113588, r156990
r113681, r763208
r113764, r682431
r114059, r497526
r114296, r161995
r114474, r196100
r114606, r776595
r114634, r147769
r114711, r965732
r114794, r543972
r114817, r765088
r115313, r126782
r115381, r827529
r115435, r224279
r115716, r328817
r115849, r768555
r115851, r639394
r116103, r435839
r116297, r751546
r116325, r314922
r116438, r468373
r116610, r844253
r116740, r184995
r116745, r954635
r116769, r190082
r116850, r182832
r116862, r223002
r117039, r784723
r117054, r714097
r117259, r196306
r117304, r236728
r117510, r557595
r117598, r168472
r117668, r689391
r117733, r368798
r117749, r200532
r117929, r188374
r117975, r989512
r118095, r995412
r118132, r745493
r118153, r592045
r118219, r171635
r118229, r168736
r118388, r614605
r118508, r197438
r118526, r760624
r118582, r833868
r118688, r298591
r118692, r135644
r118771, r528352
r119035, r904911
r119060, r282339
r119079, r457107
r119105, r316464
r119198, r371886
r119600, r134371
r119685, r353293
r119790, r506892
r120171, r174288
r120232, r183816
r120425, r338572
r120591, r234801
r120678, r557542
r121101, r924559
r121107, r308992
r121132, r137557
r121196, r114037
r121233, r382029
r121754, r955522
r121776, r198775
r121797, r573745
r121948, r825998
r122138, r164041
r122144, r907746
r122180, r739254
r122269, r192649
r122426, r176741
r122538, r186513
r122688, r185691
r122769, r169272
r122891, r736098
r123082, r463864
r123306, r790842
r123584, r783199
r123682, r142494
r123850, r946837
r124418, r739321
r124475, r885603
r125111, r191073
r125145, r662958
r125151, r126885
r125343, r800971
r125394, r946713
r125399, r871903
r125740, r297038
r125755, r492253
r125773, r861912
r125778, r127571
r126276, r114581
r126353, r102937
r127077, r119313
r127232, r172813
r127301, r579613
r127441, r626796
r127895, r485479
r127903, r196874
r127952, r956293
r127965, r474796
r128075, r183815
r128104, r759389
r128339, r643462
r128391, r138195
r128417, r114535
r128447, r137554
r128750, r106299
r128873, r698919
r128936, r679838
r129243, r143819
r129262, r190606
r129527, r167385
r129728, r130908
r130219, r110586
r130628, r529215
r130754, r634544
r130795, r694750
r130802, r249412
r130834, r270988
r130873, r600350
r130985, r517268
r131133, r176919
r131186, r161055
r131190, r604817
r131226, r423870
r131267, r439818
r131347, r437837
r131361, r452620
r131369, r162391
r131382, r310593
r131429, r573796
r131687, r165493
r131710, r485190
r131732, r320175
r131940, r461254
r132051, r149539
r132106, r124357
r132151, r843959
r132221, r748421
r132400, r156834
r132406, r145651
r132469, r142610
r132598, r113666
r132692, r229038
r132873, r816193
r133043, r117658
r133164, r774887
r133192, r106552
r133372, r303303
r133376, r877599
r133407, r708301
r133462, r848002
r133795, r107246
r133998, r598851
r134212, r641434
r134220, r125571
r135286, r387406
r135495, r270953
r135556, r393643
r135589, r192933
r135795, r481914
r135967, r156204
r135968, r128076
r136295, r513221
r136332, r705439
r136338, r189820
r136377, r401353
r136532, r129150
r136759, r116139
r136892, r277575
r137027, r867022
r137153, r639456
r137191, r254867
r137207, r114512
r137268, r830872
r137323, r150113
r137436, r191357
r137495, r115322
r137615, r777405
r137663, r119421
r137699, r146916
r137727, r394728
r137771, r399998
r137879, r475144
r137938, r587720
r137944, r910510
r138087, r597555
r138106, r836540
r138110, r887613
r138225, r786835
r138264, r173336
r138443, r157594
r138534, r169503
r138562, r143279
r138595, r662830
r138657, r557340
r138694, r110446
r138994, r157527
r139178, r406774
r139397, r443119
r139422, r500117
r139817, r293720
r139916, r475249
r140120, r161323
r140252, r820818
r140430, r435060
r140512, r229111
r140586, r159469
r140635, r415484
r140645, r173628
r140954, r787842
r141089, r339204
r141307, r174313
r141645, r982428
r141708, r625923
r141720, r408546
r141740, r749625
r141842, r748415
r141888, r491676
r141948, r810668
r142014, r965241
r142201, r104327
r142387, r821164
r142620, r814051
r142659, r143838
r143208, r176003
r143275, r164215
r143445, r135493
r143539, r614283
r143586, r197205
r143595, r127737
r143692, r986128
r143743, r662037
r143824, r529470
r143886, r721776
r144356, r295420
r144398, r106641
r144577, r151068
r144646, r315079
r144780, r262698
r144878, r348462
r145190, r138683
r145300, r209142
r145360, r833919
r145386, r284605
r145410, r321313
r145703, r194478
r145773, r159371
r146030, r276457
r146154, r478553
r146251, r344732
r146312, r111347
r146380, r170764
r146533, r907526
r147118, r914659
r147347, r174692
r147404, r117061
r147768, r795834
r147825, r323927
r147842, r241397
r147991, r356894
r148054, r524135
r148109, r101022
r148211, r145186
r148227, r169052
r148566, r132639
r148663, r109502
r148705, r112877
r149087, r944720
r149090, r463792
r149109, r178879
r149305, r147435
r149525, r866221
r149585, r101984
r149634, r343580
r149928, r123081
r150211, r118939
r150297, r223212
r150319, r129122
r150346, r209777
r150632, r151375
r150694, r397240
r150892, r133281
r150962, r589043
r151054, r163932
r151562, r224028
r151869, r368707
r151938, r154749
r152108, r102929
r152123, r877488
r152379, r919139
r152484, r398810
r153059, r733157
r153077, r192981
r153089, r183304
r153211, r959970
r153349, r916469
r153545, r149704
r154057, r192724
r154165, r799546
r154216, r135137
r154256, r668535
r154379, r770162
r154517, r829363
r154577, r102173
r154595, r189866
r154706, r935553
r154757, r389128
r154896, r168450
r154970, r341979
r155080, r577967
r155198, r209618
r155436, r696110
r155578, r944424
r155661, r525518
r155694, r774167
r155723, r929624
r155784, r704950
r155961, r865556
r156361, r269604
r156462, r133339
r156904, r295818
r157000, r544533
r157010, r141073
r157108, r122224
r157178, r691105
r157315, r194297
r157403, r460838
r157922, r516778
r157943, r377774
r158053, r725003
r158775, r773955
r158826, r831117
r158830, r161119
